אֵב	ev
פְּשִׁיטַת־רֶגֶל	pshitat-regel
פֶּשַׁע	pesha
פָּשַׁר	pashar
פִּשֵּׁר	pisher
פִּשְׁתָּה	pishta
פֹּת	pot
פִּתְאוֹם	pitom
פִּתְאוֹמִי	pitomi
פִּתְגָּם	pitgam
פָּתוּחַ	patuakh
פִּתּוּחַ	pituakh
פָּתוֹלוֹג	patolog
פָּתוֹלוֹגְיָה	patologia
פַתְ״ח	fatkh
פַּתַח	patakh
פָּתַח	patakh
פֶּתַח	petakh
פִּתֵּחַ	piteakh
פֶּתַח תִּקְוָה	petakh tikva
צֹאן	tson, son
צַב	tsav
צָבָא	tsava
צִבְאוֹת־	tsivot-
צְבָאוֹת	tsvaot
צִבּוּר	tsibur
צְבִי	tsvi
צַבָּע	tsaba
צָבַע	tsava
צֶבַע	tseva
צְבָעִים	tsvaim
צַד	tsad
צַדִּיק	tsadik
צָדַק	tzadak
צֶדֶק	tzedek
צְדָקָה	tsdaka
צְדָקִים	tsdakim
צָהֹב	tsahov
צָהֳלָה	tsohola
צָהֳרַיִם	tsohorayim
צַו	tsav
צַוָּאָה	tzavaa
צַוָּארוֹן	tsavaron
צוֹדֵק	tsodek
צִוָּהוּ	tsivahu
צו הרחקה	tsav-harkhaka
צ׳וֹלְנְט	cholnt
צוֹם	tsom
צוּנַמי	tsunami
צוֹעֲנִי	tsoani
צ׳וּפְּצִ׳יק	chupchik
צוּר	tsur
צוּרָה	tsura
צֶוֶת	tsevet
צְחוֹק	tskhok
צָחִיחַ	tsakhiakh
צָחַק	tsakhak
צִטּוּט	tsitut
צִטֵּט	tsitet
צֻטַּט	tsutat
צַיִד	tsayid
צִידוֹן	tsidon
צַיָּדֵי	tsayadei
צַיָּדִים	tsayadim
צַיֶּדֶת	tsayedet
צִיּוּן	tsiyun
צִיּוֹנוּת	tsiyonut
צִיּוּנִים	tziyunim
צִיּוּרֵי־	tsiyurei-
צִיּוּרִי	tsiyuri
צ־י־ן	ts-y-n
צֵ׳יְסֶר	cheyser
צִ׳יפְּס	chips
צִיץ	tsits
צִיצִיּוֹת	tsitsiyot
צִיצִית	tsitsit
צִיצִת	tsitsit
־צִ׳יק	-chik
צִ׳יק צָ׳ק	chik-chak
צִיֵּר	tsiyer
צֵל	tsel
צָלַב	tzalav
צְלָב	tzlav
צָלוּל	tsalul
צִלּוּם	tzilum
צַלַּחַת	tsalachat
צְלִיל	tslil
צֶלֶם	tselem
צֶלַע	tsela
צָלַע	tsolea
צְלָפְחָד‎	tslofchad
צָם	tsam
צַמָּה	tsama
צֶמַח	tsemakh
צמיגים	tzmigim
צְנוֹן	tsnon
צָנוּעַ	tsanua
צְנִיעוּת	tsniut
צָעִיר	tzair
צְעִירָה	tsira
צָפָה	tsafa
צִפָּה	tsipa
צָפוּי	tsafui
צָפוּן	tsafun
צָפוֹן	tzafon
צִפּוֹר	tsipor
צִפּוֹרָה	tsipora
צְפַרְדֵּעַ	tzfardea
צְפַת	tsfat
צַר	tsar
צֹר	tsor
צָרָה	tsara
צרוף לשון	tzeiruf lashon
צָרוּר	tsarur
צְרוֹר	tsror
צָרוֹת	tsarot
צָרוּת	tsarut
צָרַח	tsarakh
צָרִיךְ	tsarikh
צָרִים	tsarim
צָרַךְ	tsarakh
צֹרֶךְ	tsorekh
צַרְכָן	tzarchan
צִרְעָה	tzirah
צָרַעַת	tsaraat
צֵרֵף	tseref
צָרְפַת	tsarfat
צָרְפָתִית	tsarfatit
צַרְצוּר	tzartzur
צִרְצוּר	tzirtzur
צְרָצַר	tsratsar
צַתְרָה	tsatra
קֵבָה	keva
קִבּוּץ	kibutz
קְבוּצוֹת	kvutzot
קְבוּצַת־	kvutzat
קִבֵּל	kibel
קַבָּלָה	kabala
קַבָּלוֹת	kabalot
קַבְּצָן	kabtzan
קָבַר	kavar
קֶבֶר	kever
קִבֹּרֶת	qiboret
קָדוּם	kadum
קָדוֹשׁ	kadosh
קִדּוּשׁ	kidush
קִדּוּשׁ	kidush
קַדַּחַת	kadakhat
קָדִימָה	kadima
קַדִּישׁ	kadish
קָדַם	kadam
קְדַם־	kdam-
קֶדֶם	kedem
קִדֵּם	kidem
קֹדֶם	kodem
קִדְמִי	kidmi
קָדְקֹד	kodkod
קֹדֶשׁ	kodesh
קֻדַּשׁ	kudash
קֻדַּשׁ	kudesh
קַדְּשֵׁנוּ	kadshenu
קִדְּשָׁנוּ	kidshanu
קַהְוָה, קַהֲוָה	kahva, kahava
קָהִיר	kahir
קְהִלָּה	khila
קַו	kav
קוֹאוֹפֵּרָטִיב	kooperativ
קוֹאָלִיצְיָה	koalitsya
קוֹדֵחַ	qodeakh
קִוָּה	kiva
קוֹטֶג׳	kotej
קוֹל	kol
קוֹלְחוֹז	kolkhoz
קוֹלָן	kolan
קוֹלָנִי	kolani
קוֹל קוֹרֵא	kol kore
קוּם	kum
קוֹמְבִּינָה	kombina
קוּמוּלוּס	kumulus
קוּמְזִיץ	kumzits
קוֹנְדּוֹם	kondom
קוֹנְדּוֹמִים	kondomim
קוֹנְדִיטוֹר	konditor
קְוַנְט	kvant
קוֹנְסֶרְבָטִיבִי	konservativi
קוֹנְסֶרְבָטִיבִית	konservatit
קוֹסֵם	kosem
קוֹף	kof
קוּ״ף	kuf
קוּף	kuf
קוּפִּידוֹן	kupidon
קוֹפִים	kofim
קוֹץ	qotz
קוֹצֵר	kotser
קוּקוּ	kuku
קוּקִית	kokit
קוּר	kur
קו רוחב	kav rokhav
קוֹרֵיאָה	korea
קוּרְס	kurs
קָט	kat
קֹטֶב	kotev
קָטְבִּי	kotbi
קָטֵגוֹרְיָה	kategorya
קְטִילָה	ktila
קָטַל	katal
קִטֵּל	kitel
קִטְלֵג	kitleg
קְטֵלָה	ktela, qtela
קְטֻלָּה	ktula, qtulla
קִטָּלוֹן	kitalon, qittalon
קְטַלְטַל	ktaltal, qtaltal
קַטְלָנִי	katlani
קָטָן	katan
קָטֹן	katon
קָטַף	kataf
קָטָר	qatar
קִטֵּר	qiter
קֹטֶר	qoter
קִיבּוּץ	kibutz
קִיבּוּצְנִיק	kibutznik
קַיְטָנָה	kaitana
קַיָּם	kayam
קִיֵּם	kiyem
קַיִן	kayin
קַיִץ	kayits
קֵיצִים	kayitsim
קִיר	kir
קֵל	kel
קֹל	qol
קַל דַּעַת	kal daat
קַלָּה	kala
קָלָה	qala
קַלּוֹת	qalot
קַלּוּת	qalut
קָלַט	kalat
קָלִיגְרָפְיָה	kaligrafya
קְלִיד	klid
קְלִיפּ	klip
קְלִיפָה	klifa
קְלָלָה	klala
קַלְמָר	kalmar
קַלְמָרִין	kalmarin
קָלַף	kalaf
קְלָף	klaf
קְלִפָּה	klipa
קִלְקֵל	kilkel
קָם	kam
קֶמַח	kemakh
קְנָאוֹת	knaot
קַנָאִי	kanai
קָנָה	kana
קִנּוּחַ	kinuach
קִנֵּחַ	kineach
קִנְטֵר	qinter
קֶנְיָה	kenya
קְנִיָּה	kniya
קִנִּים	kinim
קְנִישׁ	knish
קִנָּמוֹן	kinamon
קִנָּמוֹן	kinamon
קַסְדָּה	kasda
קֶסֶם	kesem
קֶסֶת	keset
קַעֲקַע	kaaka
קִעְקֵעַ	lt--israeli native says kiakea, niqqud say niekea--gt
קְעָרָה	qearah
קַעֲרִית	qaarit
קָפָא	kafa
קָפָּא	kappa
קִפָּאוֹן	kipaon
קָפֶה	kafe
קָפֶה הָפוּךְ	kafe hafukh
קָפֶה נָמֵס	kafe names
קָפֶה קָפוּא	kafeh kafu
קַפְרִיסִין	qafrisin
קֵץ	kets
קְצִיצָה	ktsitsa
קְצִיצוֹת	ktsitsot
קָצָר	katsar
קֹצֶר	kotser
קְצַרְצַר	ktsartsar
קְצָת	ktsat
קָקָאוֹ	kakao
קק״ל	kkl
קֹר	kor
קָרָא	kara
קָרָאִי	karai
קִרְאֶן	kiren
קְרַב אִגְרוּף	krav igruf
קָרְבָּן	korban
קָרְבָּנוֹת	korbanot
קָרָה	qara
קָרוּא	karu
קְרוֹבָה	krova
קְרוֹבוֹת	krovot
קָרָוָן	qaravan
קֵרֵחַ	kereakh
קֹרַח	korakh
קַרְחוֹן	karkhon
קַרְחִי	karkhi
קָרִיא	kari
קְרִיזָה	kriza
קֶרִי לַיְלָה	keri layla
קְרִיקֶט	kriket
קִרְיַת גַּת‎	kiryat gat
קִרְיַת שְׁמוֹנָה‎	kiryat shmona
קֶרֶן	keren
קֶרֶן	keren
קָרַע	qara
קַרְפָּד	karpad
קַשׁ	kash
קַשָּׁב	kashav
קָשֶׁה	kashe
קָשׁוּר	kashur
קִשּׁוּר	kishur
קֹשִׁי	koshi
קָשִׁיחַ	kashiakh
קָשִׁישׁ	kashish
קְשִׁישָׁה	kshisha
קַשָּׁר	kashar
קָשַׁר	kashar
קִשֵּׁר	kisher
קֶשֶׁת	keshet
קְשָׁתוֹת	kshatot
קָתֶדְרָלָה	katedrala
רֹאֶה	roe
רָאוּי	raui
רֵאוֹת	reat
רֵאוֹת	reot
רֵאוֹת	reot
רְאוֹת	rot
רְאוּת	rut
רְאָיָה	reaya
רְאִיָּה	reiya
רֵאָיוֹן	reayon
רָאִינוּ	rainu
רָאִיתִי	raiti
רְאֵם	rem
רֹאשׁ	rosh
רֹאשׁ הַשָּׁנָה	rosh-hashana
רִאשׁוֹן לְצִיּוֹן	rishon ltsiyon
רִאשׁוֹנָה	rishona
רָאשֵׁי	rashei
רָאשִׁי	rashi
רָאשִׁים	rashim
רָאשֵׁי תֵבוֹת	rashei teivet
רֹאשָׁן	roshan
רֹאשָׁנִים	roshanim
ראש עירייה	rosh iria
רַב	rav
רָבָה	rava
רִבּוֹנֵי	ribonei
רִבּוֹנִי	riboni
רִבּוּעַ	ribua
רַבִּי	rabi
רִבִּית	ribit
רַב־מַלְאָךְ	rav-malakh
רַבֵּנוּ	rabeinu
רַבָּנִים	rabanim
רֹבַע	rova
רֹבַע	rova
רִבְעוֹן	rivon
רַבְשָׁקֵה	ravshake
רָגוּעַ	ragua
רֶגֶל	regel
רַגְלָיו	raglav
רגליך	raglcha
רַגְלֶיךָ	raglecha
רֶגַע	rega
רֹגַע	roga
רְגָעִים	rgaim
רֶגֶשׁ	regesh
רְגָשׁוֹת	rgashot
רַדְיוֹ	radyo
רָהוּט	rahut
רִהוּט	rihut
רָהִיט	rahit
רְהִיטוּת	rhitut
רוֹאֶה	roe
רוֹאֵה חֶשְׁבּוֹן	roe kheshbon
רוֹבֶה	rove
רוּגַאֲטְקָה	rugatqa
רוֹגֵעַ	rogea
רוּחָנִי	rukhani
רוּחָנִיּוֹת	rukhaniyot
רוּחָנִיּוּת	rukhaniyut
רְוָיָה	revaya
רוּם	rum
רוֹמָא	roma
רוֹמַם	romam
רוֹמֵם	romem
רוֹמָן	roman
רוֹמַנְיָה	romanya
רוֹמָנִית	romanit
רוּסִי	rusi
רוּסְיָה	rusya
רוּסִית	rusit
רוֹפֵא	rofe
רוֹפְאָה	rofa
רוֹצָה	rotsa
רוֹצֶה	rotse
רַוָּק	ravak
רַוָּק	ravaq
רוֹק	roq
רוֹקֵחַ	rokeakh
רוֹתֵחַ	roteakh
רָחָב	rachav
רְחַב יָדַיִם	rakhav yadayim
רְחוֹבוֹת	rkhovot
רָחוֹק	rakhok
רָחֵל	rachel
רָחַם	rakham
רֶחֶם	rekhem  rakham
רִחֵם	rikhem
רַחֲמִים	rakhamim
רַחְמָנוּת	rakhmanut
רָחַץ	rachats
רָטֹב	ratov
רֹטֶב	rotev
רָטוּב	ratuv
רֶטְרוֹאַקְטִיבִי	retroactivi
רֵיחַ	reakh
רֵיחָן	rehan
רִיס	ris
רִיסִים	risim
רֵיק	reik
רַךְ	rakh
רֹךְ	rokh
רָכַב	rakhav
רֶכֶב	rechev
רַכֶּבֶל	rakevel
רַכֶּבֶת	rakevet
רִכּוּז	rikuz
רָם	ram
רַמְבַּ״ם	rambam
רַמְבַּ״ן	ramban
רָמָה	rama
רִמָּה	rima
רִמּוֹנָדָה	rimonada
רִמּוֹנִים	rimonim
רָמַז	ramaz
רֶמֶז	remez
רַמְזוֹר	ramzor
רַמְלָה	ramla
רֶמֶץ	remets
רָמַשׂ	ramas
רַן	ran
רֹן	ron
רִנָּה	rina
רִסֵּס	rises
רַע	ra
רָעָב	raav
רָעֵב	raev
רָעַד	raad
רָעָה	raa
רֵעָה	rea
רְעוּאֵל	ruel
רֹעִי	roi
רַעֲיוֹן	raayon
רֵעֲךָ	reacha
רַעַם	raam
רַעְמְסֵס	ramses
רַעֲנַנָּה	raanana
רָעַשׁ	raash
רַעֲשָׂן	raashan
רַעֲשָׁנִי	raashani
רִפֵּא	ripe
רֻפַּד	rupad
רְפוּאָה	rfua
רֶפּוּבְּלִיקָה	republika
רַפְסוֹדָה	rafsoda
רֶפֶת	refet
רָץ	ratz
רִצָּה	ritsa
רָצוּי	ratzui
רָצוֹן	ratzon
רָצוֹן טוֹב	ratzon tov
רְצוּעָה	rtsua
רֶצַח	retzakh
רְצִינִי	rtsini
רִצְפָּה	ritspa
רֹק	roq
רָקַד	rakad
רַקְדָן	rakdan
רַקְדָנִית	rakdanit
רָקוּב	rakuv
רִקּוּד	riqud
רָקֶטָה	raketa
רֶקְטוּם	rektum
רָקִיעַ	rakia
רָקַע	raka
רִקַּע	rika
רֻקַּע	ruka
רִשּׁוּת	rishut
רְשִׁימָה	rshima
רְשִׁימוֹת	reshimot
ר־שׁ־ם	r-sh-m
רִשְׁמִי	rishmi
רָשָׁע	rasha
רֶשָׁע	resha
רִשְׁעוּת	rishut
רְשָׁעִים	rshaim
רֶשֶׁף	resheph
רֶשֶׁת	reshet
רִשֵּׁת	rishet
רַתָּךְ	ratakh
רִתֵּךְ	ritekh
רֻתַּךְ	rutakh
שָׁאוּל	shaul
שָׁאַל	shaal
שְׁאֵלָה	shela
שְׁאָר	shar
שָׁב	shav
שֵׁב	shev
שְׁבָבִים	shvavim
שְׁבָה	shva
שָׁבוּי	shavuy
שָׁבוּעַ	shavua
שְׁבוּעָה	shvua
שָׁבוּעוֹת	shavuot
שְׁבוּעוֹת	shvuot
שְׁבוּעַיִם	shvuayim
שָׁבוּר	shavur
שִׁבֵּחַ	shibeakh
שֻׁבַּח	shubakh
שֵבֶט	shevet
שִׁבְטִי	shivti
שְׁבִיל	shvil
שְׁבִיל הֶחָלָב	shvil hekhalav
שֹׁבֶל	shovel
שַׁבְּלוּל	shablul
שִׁבֹּלֶת	shibolet, sibbolet
שִׁבֹּלֶת שׁוּעָל	shibbolet shual
שֶׁבַע	sheva
שֹׂבַע	sova
שִׁבְעָה	shiva
שָׁבָץ	shavats
שָׁבַר	shavar
שֶׁבֶר	shever
שֻׁבַּר	shubar
שִׂבֵּר	siber
שְׁבָרִים	shvarim
שֶׁבֶת	shevet
שַׁבְּתַאי	shabtai
שַׁבָּתוֹן	shabaton
שַׁבָּת שָׁלוֹם	shabat shalom
שְׁגִיאַת כְּתִיב	shgiat ktiv
שִׁגֵּעַ	shigea
שִׁגֵּר	shiger
שַׁגְרִיר	shagrir
שַׁגְרִירוּת	shagrirut
שַׁגְרִירִים	shagririm
שָׁד	shad
שֵׁד	shed
שֹׁד	shod
שֹד	shod
שָׂדֶה	sade
שִׁדּוּר חוֹזֵר	shidur-khozer
שָׁדַיִם	shadayim
שֶׁדֶר	sheder
שְׂדֵרוֹת‎‎	sderot
שַׁדְרָן	shadran
שֶׂה	se, se
שְׁוָא	shva
שׁוֹאוֹת	shoot
שׁוּב	shuv
שׁוֹדֵד	shoded
שְׁוֶדְיָה	shvedya
שָׁוֶה	shave
שִׁוּוּק	shivuk
שׁוֹחֵט	shokhet
שׁוֹט	shot
שׁוֹטֶה	shote
שׁוֹטֵט	shotet
שׁוֹטֵר	shoter
שׁוֹטְרוֹת	shotrot
שׁוֹטֶרֶת	shoteret
שׁוּל	shul
שׁוֹמֵר	shomer
שׁוּמֶר	shumer
שׁוֹמְרִים	shomrim
שׁוֹנֶה	shone
שׁוּעָל	shual
שׁוֹפֵט	shofet
שׁוֹפְטִים	shoftim
שׁוֹפְכָן	shofkhan
שׁוֹפָר	shofar
שִׁוֵּק	shivek
שׁוֹק	shok
שׁוּק	shuk
שׁוֹר	shor
שׁוּרָה	shura
שׁוּרוּק	shuruk
שׁוּרוֹת	shurot
שׁוֹרֵשׁ	shoresh
שׁוּרַת	shurat
שׁוֹשָׁן	shoshan
שׁוּשָׁן	shushan
שׁוֹשַׁנָּה	shoshana
שׁוֹשַׁנָּה	shoshana
שֹׁחַד	shokhad
שָׂחָה	sakha
שְׁחוֹר	shkhor
שִׁחְזוּר	shikhzur
שְׁחִיטָה	shkhita
שְׁחִיתוּת	shkhitut
שְׁחַמְחַם	shkhamkham
שַׁחְמָט	shakhmat
שְׁחָקִים	shkhakim
שַׂחְקָן	sakhqan
שַׂחְקָנִים	sakhkanim
שַׂחְקָנִית	sakhkanit
שָׁחֹר	shakhor
שַׁחֲרוּר	shakharur
שִׁחְרוּרוֹ	shikhruro
שְׁחַרְחַר	shkharkhar
שִׁחְרֵר	shikhrer
שֻׁחְרַר	shukhrar
שָׁט	shat
שָׁטַח	shatakh
שֶׁטַח	shetakh
שִׁטֵּחַ	shiteakh
שָׁטִיחַ אָדֹם	shatiakh adom
שָׁטַף	shataf
שִׂיחַ	siakh
שִׂיחָה	sikha
שִׁיטָה	shita
שִׁימּוּשׁ	shimush
שִׁימּוּשִׁים	shimushim
שִינְקֶן	shinken
שִׁיפוֹן	shifon
שִׁיר	shir
שִׁירוֹת	shirot
שִׁירִים	shirim
שִׁית	shit
שָׁכַב	shakhav
שְׁכוּנָה	shkhuna
שָׁכַח	shakhakh
שַׁכְחָן	shakhekhan
שַׂכִּין	sakin
שֵׂכֶל	sekhel
שִׁכְלוּל	shikhlul
שָׁכַן	shakhan
שָׁכֵן	shakhen
שִׁכְנֵעַ	shichnea
שׁ־כ־נ־ע	sh-k-n-
שֻׁכְנַע	shukhna
שְׁכֶנְתָּהּ	shchentah
שָׂכַר	sakhar
שָׂכָר	sakhar
שֶׂכֶר	sekher
שָׁכַר	shakhar
שִׁכֵּר	shiker
שַׁל	shal
שֶׁל	shel
שְׁלָבִּים	shlabim
שֶׁלֶד	sheled
שָׁלֵו	shalev
שֶׁלּוֹ	shelo
שְׂלָו	slav
שַׁלְוָה	shalva
שָׁלוֹם	shalom
שָׁלוֹם עֲלֵיכֶם	shalom aleikhem
שְׁלוֹשָׁה	shlosha
שְלוֹשָׁה עָשָׂר	shlosha asar
שְׁלוֹשִׁים	shloshim
שְׁלוֹשׁ עֶשְׂרֵה	shlosh esre
שָׁלַח	shalach
שֶׁלַח	shelach
שִׁלֵּחַ	shileach
שִׁלְחוֹ	shilcho
שֻׁלְחָן	shulchan
שֻׁלְחָן	shulkhan
שֻׁלְחָנוֹת	shulchanot
שַׁלְּחֵנִי	shalcheni
שְׁלָחַנִי	shlachani
שֻׁלְחָנִי	shulchani
שְׁלַחְתִּיךָ	shlachticha
שַׁלָּט	shalat
שִׁלְטוֹן	shilton
שִׁלְטוֹן	shilton
שַׁלָּט רָחוֹק	shalat rakhok
שֶׁלִּי	sheli
שָׁלִיחַ	shaliakh
שְׁלִיחָה	shlikha
שְׁלִילִי	shlili
שָׁלִישׁ	shalish
שְׁלִישִׁי	shlishi
שֶׁלָּךְ	shelakh
שָׁלַם	shalam
שָׁלֵם	shalem
שִׁלְּמָה	shilma
שְׁלֹמֹה	shlomo
שְׁלֵמוּת	shlemut
שֶׁלָּנוּ	shelanu
שַׁלְפּוּחִית	shalpukhit
שָׁלֹשׁ	shalosh
שְׁלֹשָׁה	shlosha
שִׁלְשׁוֹם	shilshom
שְׁלֹשֶׁת	shloshet
שָׂם	sam
שָׁם	sham
שָׁם	sham
שָׂם לֵב	sam lev
שֵׁם לְוַאי	shem levai
שֵׁם מִשְׁפָּחָה	shem mishpakha
שֵׁם עֶצֶם	shem etsem
שֵׁם פְּעֻלּה	shem-peula
שְׂמֹאל	smol
שְׂמָאלִי	smali
שָׁמוּ	shamu
שְׁמוּאֵל	shmuel
שִׁמּוּן	shimun
שֵׁמוֹת	shemot
שְׁמוֹת	shmot
שָׂמַח	samakh
שִׂמֵּחַ	simeakh
שִׂמְחָה	simkha
שְׁמִי	shmi
שְׁמִיטָה	shmita
שְׂמִיכָה	smikha
שָׁמַיִם	shamayim
שְׁמִינִי עֲצֶרֶת	shmini atseret
שְׁמִירָה	shmira
שמירטוף	shmirtuf
שְׁמִירַת	shmira
שָׂמְךָ	samcha
שְׁמֵךְ	shmech
שָׁמַן	shaman
שָׁמֵן	shamen
שִׁמֵּן	shimen
שֻׁמָּן	shuman
שְׁמַנְמַן	shmanman
שַׁמֶּנֶת	shamenet
שָׁמַע	shama
שְׁמַע	shma
שִׁמְעוֹן	shimon
שְׁמַעְיָה	shmaya
שַׁמְפַּנְיָה	shampania
שָׁמַר	shamar
שֶׁמֶר	shemer
שִׁמֵּר	shimer
שֻׁמָּר	shumar
שְׁמִרְטֵף	shmirtef
שִׁמְרִית	shimrit
שָׁמַרְנוּ	shamarnu
שָׁמַרְתְּ	shamart
שָׁמַרְתָּ	shamarta
שָׁמַרְתִּי	shamarti
שַׁמָּשׁ	shamash
שֶׁמֶשׁ	shemesh
שְׁמָשׁוֹת	shmashot
שֵׁן	shen
שָׂנֵא	sane
שִׂנְאָה	sina
שַׁנַּאי	shanai
שֹׂנְאֵינוּ	sonenu
שֵׁנָה	sheina
שִׁנָּה	shina
שֻׁנָּה	shuna
שָׂנוּא	sanu
שִׁנּוּי	shinui
שְׁנוֹרְקֶל	shnorkel
שְׁנוֹת־	shnot-
שָׁנִי	shani
שָׁנִי	shani
שֵׁנִי	sheni
שִׁנִּי	shini
שֹׁנִי	shoni
שְׁנִיָּה	shniya
שָׁנִים	shanim
שְׁנַיִם	shnayim
שְׁנֵים עָשָׂר	shneyim asar
שֵׁנִית	shenit
שִׁנְמוּךְ	shinmukh
שְׁנֵקֶל	shnekel
שְׁנַת־	shnat-
שָׁעוֹן	shaon
שָׁעוּן	shaun
שְׂעוֹרָה	seorah
שָׂעִיר	sair
שֵׂעִיר	seir
שִׁעְמוּם	shiamum
שִׁעֵר	shier
שַׂעֲרָה	saara
שערות סבתא	searot savta
שֶׁף	shef
שָׂפָה	safa
שָׂפוֹת	safot
שְׁפִיכָה	shfikha
שָׁפַךְ	shafakh
שָׂפָם	safam
שֶׁפַע	shefa
שַׁפַּעַת	shapaat
שְׂפַת־	sfat-
שְׂפָתַיִם	sfatayim
שְּׂפָתַיִם קְטַנּוֹת	sfatayim ktanot
שְׂפַת תִּכְנוּת	sfat tikhnut
ש״ץ	shats
שַׂק	sak
שָׁקַד	shakad
שָׁקֵד	shaked
שָׁקוּף	shakuf
שָׁקַט	shakat
שָׁקֵט	shaket
שֶׁקֶט	sheket
שַׂקִּים	sakim
שַׂקִּית	sakit
שָׁקַל	shakal
שֶׁקֶל	shekel
שֶׁקֶל חָדָשׁ	shekel khadash
שִׁקְמָה	shikma
שִׁקְמִים	shikmim
שֶׁקֶר	sheker
שִׁקֵּר	shiker
שִׁקְרֵי	shikrei
שַׁקְרָן	shakran
שַׁקְרָנִים	shakranim
שַׂק שֵׁנָה	sak-sheina
שַׂר	sar
שָׁר	shar
שָׁרָב	sharav
שְׁרָבִי	shravi
שָׂרָה	sara
שֵׁרוּתִים	sherutim
שָׂרֵי	sare
שִׁרְיוֹן	shiryon
שִׂרְיוֹן	siryon
שְׁרִיקַת	shrikat
שְׁרִיר	shrir
שְׁרִירֵי־	shrirei-
שְׁרִירִי	shriri
שָׂרִית	sarit
שָׂרַף	saraf
שָׂרָף	saraf
שְׂרָף	sraf
שְׂרָפִים	srafim
שָׁרַץ	sharats
שֶׁרֶץ	sherets
שָׁרַק	sharak
שֹׁרַשׁ	shorash
שֹׁרֶשׁ	shoresh
שׁ־ר־שׁ	sh-r-sh
שָׁרְשִׁי	shorshi
שָׁרְשִׁיּוּת	shorshiyut
שֳׁרָשִׁים	shorashim
שֵׁרֵת	sheret
שֵׁשׁ	shesh
שֵׁשׁ בֵּשׁ	shesh besh
שִׁשָּׁה עָשָׂר	shisha asar
שָׂשׂוֹן	sason
שִׁשִּׁים	sisim
שֵׁשׁ עֶשְׂרֵה	shesh esre
שָׁת	shat
שָׁתָה	shata
שְׁתִיָּה	shtiya
שְׁתַּיִם	shtayim
שְׁתֵּים עֶשְׂרֵה	shteyim esre
שֶׁתֶן	sheten
שׁ־ת־ן	sh-t-n
שִׁתֵּק	shiteq
שֻׁתַּק	shutaq
תָּא־גָּזִים	ta-gazim
תְּאוֹם	tom
תָּאֵי	taey
תָּאִי	tai
תָּאִים	taim
תֹּאמַר	tomar
תֹאמְרֻן	tomrun
תֵּאֵר	teer
תַּאֲרִיךְ	taarikh
תָּבֹא	tavo
תָּבֹאנָה	tavona
תֵּבָה	teva
תָּבוֹא	tavo
תְּבוּסָה	tvusa
תַּבְלִין	tavlin
תַּבְנִית	tavnit
תָּג	tag
תְּגוּבִית	tguvit
תַּגְלִית	taglit
תְּדַבֵּר	tdaber
תִּדְלֵק	tidlek
תֵּה	te
תֹּהוּ	tohu
תְּהוֹם	thom
תִּהְיֶה	tihye
תְּהִלָּה	thila
תַּהֲלִיךְ	tahalikh
תֵּה מִנְחָה	te minha
תּוֹדָה	toda
תָּוִית	tavit
תָּוִית יִדּוּעַ	tavit yidua
תָּוֶךְ	tavech
תּוֹלַעַת	tolaat
תוֹעֵבָה	toeva
תּוֹצָאָה	totsaa
תּוֹר	tor
תּוֹרָה	tora
תּוּרְכִּי	turki
תּוֹרַת־	torat-
תּוּת	tut
תְּזוּנָה	tzuna
תַּחְבּוּרָה	takhbura
תַּחְבּוּרָה צִבּוּרִית	takhbura tsiburit
תִּחוּם	tikhum
תְּחוּם	tkhum
תְּחַיּוּן	tchayun
תְּחַיֶּיןָ	tchayena
תְּחִיַּת הַמֵּתִים	tkhiyat hametim
תְּחִלָּה	thila
תָּחַם	takham
תַּחְמֹשֶׁת	takhmoshet
תַּחֲנָה	takhana
תַּחֲנַת אוֹטוֹבּוּס	takhanat otobus
תַּחְפֹּשֶׂת	takhposet
תַּחַת	takhat
תֵּיבוֹת	tevot
תִּיכוֹן	tikhon
תַּיְלַנְד	tailand
תַּיְלַנְדִּי	tailandi
תַּיְלַנְדִּית	tailandit
תַּיְלַנְדִּית	tailandit
תֵּימָן	teiman
תִּינוֹק	tinok
תִּינוֹקוֹת	tinokot
תִּינֹקֶת	tinoket
תִּיק	tik
תִּיק גַּב	tik gav
תַיָר	tayar
תִּירֶאןָ	tirena
תִּירָס	tiras
תַּכֶּה	take
תֻּכִּי	tuki
תְּכֵלֶת	tchelet
תִּכְנוּת	tikhnut
תִּכְנֵן	tikhnen
תִּכְנֵת	tikhnet
תֵּל	tel
תָּלוּי	talui
תֵּלְכוּ	telchu
תֶּלֶם	telem
תַּלְמוּד	talmud
תַּלְמִיד	talmid
תַּלְמִידָה	talmida
תְּלַת	tlat-
תַּלְתַּל	taltal
תִּלְתֵּל	tiltel
תִּלְתָּן	tiltan
תַּם	tam
תָּם	tam
תֹּם	tom
תֹּם	tom
תַּמָּה	tama
תָּמֵהַּ	tameah
תֶּמָה	tema
תֵּמַהּ	temah
תַּמּוּז	tamuz
תָּמִיד	tamid
תְּמִידִי	tmidi
תָּמִים	tamim
תְּמִימוּת	tmimut
תִּמְלָא	timla
תַּן	tan
תְּנוּחָה	tnukha
תְּנוּעָה	tnua
תנועות	tnuot
תַּנִּים	tanim
תִּנְשֶׁמֶת	tinshemet
תָּסִיל	tasil
תִּסְרֹקֶת	tisroket
תִּעֵב	tiev
תְעוּפָה	tufa
תַּעֲנִית	taanit
תַּעֲרוּכָה	taarukha
